# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "gene_id" "-p" "-a" "reference/GCF_000484505.2_ASM48450v2_genomic.gtf" "-o" "counts/gene_counts.txt" "alignments/SRR23426222.sorted.bam" "alignments/SRR23426221.sorted.bam" "alignments/SRR23426220.sorted.bam" "alignments/SRR23426219.sorted.bam" "alignments/SRR23426218.sorted.bam" "alignments/SRR23426217.sorted.bam" "alignments/SRR23426216.sorted.bam" "alignments/SRR23426214.sorted.bam" "alignments/SRR23426213.sorted.bam" "alignments/SRR23426212.sorted.bam" "alignments/SRR23426215.sorted.bam" "alignments/SRR23426211.sorted.bam" "alignments/SRR23426210.sorted.bam" "alignments/SRR23426209.sorted.bam" "alignments/SRR23426208.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/SRR23426222.sorted.bam	alignments/SRR23426221.sorted.bam	alignments/SRR23426220.sorted.bam	alignments/SRR23426219.sorted.bam	alignments/SRR23426218.sorted.bam	alignments/SRR23426217.sorted.bam	alignments/SRR23426216.sorted.bam	alignments/SRR23426214.sorted.bam	alignments/SRR23426213.sorted.bam	alignments/SRR23426212.sorted.bam	alignments/SRR23426215.sorted.bam	alignments/SRR23426211.sorted.bam	alignments/SRR23426210.sorted.bam	alignments/SRR23426209.sorted.bam	alignments/SRR23426208.sorted.bam
CAETHG_RS11235	NC_022592.1	2355327	2356836	+	1510	53	18	86	34	54	13	101	29	132	19	108	14	20	53	100
CAETHG_RS11240	NC_022592.1	2357121	2360010	+	2890	46064	43054	50000	53469	54078	58687	45721	25400	39254	37348	48675	36718	45194	51242	63896
CAETHG_RS11245	NC_022592.1	2360218	2360334	+	117	0	2	1	1	0	2	0	4	0	0	1	2	2	0	1
CAETHG_RS11250	NC_022592.1	2360340	2360415	+	76	0	0	0	4	1	1	1	4	1	2	1	3	2	0	1
CAETHG_RS11305	NC_022592.1	2372231	2373740	+	1510	37	63	20	14	8	13	110	9	38	21	28	6	30	18	14
CAETHG_RS11310	NC_022592.1	2374025	2376914	+	2890	105016	204334	164937	109209	75963	166194	85431	23518	147649	146846	168216	73247	85540	91236	136426
CAETHG_RS11315	NC_022592.1	2377024	2377140	+	117	4	0	2	1	0	1	1	4	3	1	2	1	5	2	1
CAETHG_RS11320	NC_022592.1	2377150	2377225	+	76	2	0	1	3	1	3	1	1	1	1	1	0	1	0	1
CAETHG_RS11385	NC_022592.1	2392695	2394204	+	1510	19	11	44	335	107	40	27	20	41	32	16	13	13	59	42
CAETHG_RS11390	NC_022592.1	2394594	2397483	+	2890	45871	54983	24742	32917	11883	60036	42354	29954	39858	45853	26717	58043	52199	33386	98853
CAETHG_RS11395	NC_022592.1	2397691	2397807	+	117	10	13	9	5	21	18	17	29	14	1	28	24	37	2	28
CAETHG_RS11405	NC_022592.1	2398976	2399049	+	74	2	3	1	4	6	4	0	0	1	0	1	1	3	1	0
CAETHG_RS11980	NC_022592.1	2515815	2515890	+	76	47	83	32	62	198	86	38	33	45	32	51	47	72	39	29
CAETHG_RS11985	NC_022592.1	2515896	2515980	+	85	7	26	14	29	55	50	19	12	9	14	15	21	17	14	14
CAETHG_RS11990	NC_022592.1	2515990	2516065	+	76	42	54	41	111	251	108	39	39	33	41	49	38	81	67	51
CAETHG_RS11995	NC_022592.1	2516087	2516162	+	76	24	36	17	58	122	76	25	26	24	27	36	47	58	36	36
CAETHG_RS12000	NC_022592.1	2516168	2516252	+	85	22	23	17	93	154	84	31	20	23	15	29	29	45	23	31
CAETHG_RS12105	NC_022592.1	2542220	2542294	-	75	97	64	59	146	453	134	74	83	98	58	128	114	135	79	101
CAETHG_RS13785	NC_022592.1	2935179	2936688	+	1510	1351	2482	1117	1269	1199	1444	1537	690	1765	1907	2176	900	1194	1124	2092
CAETHG_RS13790	NC_022592.1	2936973	2937048	+	76	4	2	0	4	0	2	1	2	0	1	1	0	3	0	2
CAETHG_RS13795	NC_022592.1	2937053	2937129	+	77	153	79	125	140	116	96	114	142	123	75	105	99	190	88	155
CAETHG_RS13800	NC_022592.1	2937441	2940330	+	2890	24492	117714	60997	10706	40804	24542	7637	43961	16806	36511	55370	18938	20661	22662	28634
CAETHG_RS13825	NC_022592.1	2944734	2944850	+	117	10	2	0	3	7	3	4	6	0	2	6	2	9	2	4
CAETHG_RS13830	NC_022592.1	2944860	2944935	+	76	10	13	6	195	229	101	22	19	21	9	39	24	31	11	23
CAETHG_RS13930	NC_022592.1	2966985	2968494	+	1510	126	255	118	208	377	157	154	114	202	127	231	96	271	270	139
CAETHG_RS13935	NC_022592.1	2968779	2968854	+	76	5	2	8	2	3	4	3	6	5	4	3	0	2	3	1
CAETHG_RS13940	NC_022592.1	2968859	2968935	+	77	2	2	6	6	7	2	7	6	5	4	4	8	6	3	4
CAETHG_RS13945	NC_022592.1	2969220	2972109	+	2890	2634	5502	4008	3641	1273	2280	1257	19895	2393	2534	2530	1950	9581	4794	4031
CAETHG_RS13950	NC_022592.1	2972294	2972410	+	117	0	2	0	2	4	4	2	3	1	0	4	1	5	3	4
CAETHG_RS13955	NC_022592.1	2972425	2972499	+	75	3	2	3	2	9	1	8	7	0	2	9	4	7	4	3
CAETHG_RS14160	NC_022592.1	3026116	3026307	+	192	5431	19016	9545	7629	46723	18019	2271	17958	9460	5835	23559	29658	10706	2782	3553
CAETHG_RS14415	NC_022592.1	3077345	3077441	+	97	88	84	69	96	163	86	62	78	107	66	96	98	112	34	31
CAETHG_RS14810	NC_022592.1	3164630	3164974	+	345	84034	89690	66789	59318	124556	62867	63853	81846	98591	64617	79008	67911	69434	59721	74718
CAETHG_RS18175	NC_022592.1	3871397	3871472	+	76	4	6	5	24	34	32	15	7	19	15	14	17	22	13	7
CAETHG_RS18180	NC_022592.1	3872009	3873516	+	1508	567	873	382	467	490	585	755	396	749	655	548	348	454	486	524
CAETHG_RS18185	NC_022592.1	3873935	3876824	+	2890	46895	54402	48378	49169	47626	57333	46081	32762	52844	57475	51943	39833	45801	55738	46544
CAETHG_RS18190	NC_022592.1	3877090	3877206	+	117	4	5	0	5	7	8	3	13	5	4	1	0	10	1	8
